english	manx_translations
Carine's Farm	Balley Carine
carline thistle	onnane airhey; onnane sleeantagh
Carmick's Farm	Balley Garmin
Carney's Fold	Bwoaillee Carney
Carnigan's Place	Carnigan
Carnot cycle	chymshal Carnot
Carnot engine	jeshaght Charnot
carob bean	poanrey carob
carob tree	billey locust
Caroon's Farm	Balley Caroon
Carown's Garden	Garey Carown
Carpenters' Cave	Ooig ny Seyir
carpet broom	skeaban brat laare
carpet knight	far-reejerey
carpet slippers	carraneyn thie
Carran's Croft	Croit y Carran
Carran's Farm	Balley Carran
Carran's Hollow	Lheannee Charran
Carran's Lake	Lough y Carran
Carrick Mews	Close ny Carrickey
carrier tricycle	tree-queeyllagh ymmyrkey
Carrin's Croft	Croit Carrin
Carrown's Croft	Croit ny Carrown
Cartesian diver	thummeyder Cairteesagh
Cartography Section	Fo-rheynn Kaarteyrys
Cartoile's Farm	Ard Ole
cartridge belt	cryss chartoose; cryss laadee
cartridge case	coodagh cartoose
cartridge paper	pabyr cartoose
cartridge pouch	poagey cartoose
Casement's Farm	Balley Casement
Casement's Hill	Cronk Casement
Cashen's Fold	Bwoaillee Cashen
Cashen's Gap	Doarlish Cashen
Cashin's Enclosure	Close y Cashin
Cashin's Flat	Faaie Cashin
Cashin's River Meadow	Lhiondaig Cashen
Cashin's Shrubbery	Garee Cashin
Cashin's Turbary	Moanee Cashin
cash less discount	argid loojey dooraght
Caspian tern	sternag Chaspagh
Cassidy's Field	Magher Cassidy
Castle Court Apartments	Aarasaneyn Cooyrt y Chashtal
Castle of the Enclosure	Cashtal y Close
Castleward Green	Faaie Rheynn y Chashtal
cat burglar	gaddee drappal; maarliagh drappal
Catherine's Church	Keeill Catreeney
Catherine's Field	Magher Catreeney
Catherine's House	Thie Chatreeney
cat's cradle	clean kayt
cat's ear	cleaysh chiyt
Cat's Fold	Bwoaillee Chayt
cat's fur	clooie chayt
Cat's Hill	Cronk y Chayt
Cats' Home	Thie ny Kiyt
cat's tail	kayteen
cattle bot	carthan ollee
cattle drover	guilley yn ollee
Cattle Enclosure	Close yn Ollee
cattle grid	cleeah ollee
cattle murrain	chonnagh
cattle ranch	ransh ollee
cattle truck	truck ollee
Cauldron Field	Magher y Coirrey
caulking iron	yiarn jeenee
Causeway Shrubbery	Garee Cassey
caustic soda	soda loshtagh
caustic wit	caaynt gheyre
cautionary tale	skeeal raauee
Caves' Shore	Traie Ooigyn
Cecilia's Chapel	Cabbal Keyl
celandine greater	lus ny gollan geayee
celandine lesser	lus ny mlainyn
celibate woman	moidyn
cell membrane	far-chrackan killag
centrifugal force	niart mean shaghnagh
cerebral palsy	anlheiltys kerebellagh
cerebrospinal fluid	fliughid kerrodrommey
cere cloth	eaddagh oaye
Certificate of course completion	Teisht Cooilleeney Coorse
chain adjuster	chionntane driaght
challenge cup	cappan doolane
chamois leather	crackan goayr ny greg; shammee
Champion's Mountain	Keppel
charcoal drawing	linneeaght gheaylee
Charcoal Farm	Colby
charge as battery	cur trimmid ayn
Charles' Court	Close Chalse
Charles' Croft	Croit Charles; Croit Chalse
charnel house	thie craue; thie craueyn; ulley
Charry's Bridge	Droghad Charry
Charry's Croft	Croit Charry
Charry's Farm	Balley Charry
Charry's Point	Gob Charry
chart as trade	cur kaart da
chart by sounding	suntal
chartered accountant	coontyseyr kaartit
chart house	shamyr chaart
cheap morally	cur nearey er
checkers board	boayrd tawlish
check valve	glass-chooylley
cheek by jowl	cosh ry cholbey
cheese taster	blasseyder caashey
chemical bond	kiangley kemmigagh
chemical change	caghlaa kemmigagh
chemical complex	ard-hroggalys kemmigagh
chemical element	bunstoo
chequer cloth	aanrit breck
cheque uncrossed	sheck neuchrossit
Cherished Registration Mark	Cowrey-recortyssee Keainit; Cowrey-recortyssee Ennoil
Ir. ficheall	feeal
chess piece	fer feeal
chess player	feealee
chestnut-sided warbler	kiaulleyder Pennsylvania
Cheviot sheep	keyrrey veayl; keyrrey veayll
chew noisily	cranshal
Chicken's Rock	Carrick ny Colloo; Carrick ny Kylliu; Carrick ny Keylliu
chick pea	pishyr chirkey
chief councillor	ard-chooinseilagh; ard-choyrleyder
Chief Operating Officer	Ard-offishear-obbree
Chief Secretary's Office	Oik yn Ard-scrudeyr
chilling room	shamyr feayree
chiming clock	clag clingagh
China aster	aster Sheenagh
Chinese raspberry	smeyr yiarg
choc ice	riojag shocklaid
chock up	jeenysal; jeenysey
choke pear	peear sharroo
cholera belt	cryss chollyr
choosing your accommodation	reih dty aaght
choral music	kiaull chochiaullee
christening cake	berreen vashtee
christening card	kaart bashtee
Christening Day	Laa Bashtee
Christian Monitor	Fer Raauee Creestee
Christian Scientist	skeandagh Creestee
Christian's Croft	Croit y Christeen; Croit Chreesteeney
Ir. Nollaig	Nollick; Nollick Vooar; Laa Nollick Beg
Christmas cracker	bleaystag Nollick; poltag Nollick
Christopher's Farm	Balley Quitchell
Christry's Farm	Balley Christry
chromatic acid	soorid cromaidagh
chromium plating	kroym choodagh; kroym-choodaghey
chronological order	rere ny dateyn; rere ny laghyn
chuck about	ceau mygeayrt
Chuck it	Lhig jeh
chuck up	ceau neese
Church Enclosure	Close y Killey
Church of the Oaktree	Keeill Darey
Church of the Sloes	Keeill Airney
church reforms	caghlaaghyn-Agglish
Ciaran's Church	Keeill Corrony; Keeill Corrody
Ciaran's Well	Chibbyr Ciaran
cigar case	askan sigar
cinder sifter	creear smarage
cinema star	rollage scannane
circumflex accent	slattag lhoobagh
cirl bunting	pompee wuigh
citric acid	soorid kidragh
citril finch	corkan buigh
City of London Corporation	Co-chorp Ard-valley Lunnin
civil disturbance	rouan
Clague's Farm	Balley Clague
Clague's Marsh	Curragh y Clague
clamp of potatoes	carnane praaseyn
Clarence Terrace	Strane Clarence
Clark's Enclosure	Close Clark
classical bagpipe music	kiaull mooar
classical music	ard-chiaull
classic motorbikes	roaryn-bree classicagh
Classic Nostalgia Weekend	Jerrey-shiaghtin Foddeeaght Classicagh
clauses stage	keim-oltyn
clearance certificate	teishtys eeck
clearance sale	ard-chreck
clear tariffs	taillaghyn cronnal
Clear Well Enclosure	Close y Chibbyr Ghlass
Cleator's Croft	Croit y Cleator
Cleator's Farm	Balley Cleator
Cleft of the Lakelet	Gaaig y Loughan
Clement's Hill	Cronk Clement
Cleopatra's Needle	Leac Chleopatra
Clerk's Farm	Balley Cleyree
Clerk's Flat	Faaie Cleree
Clerk's Fold	Bwoaillee yn Chleyree
Clerk's Garden	Garey ny Cleragh
Clerk to the Justices' Office	Oik Cleragh ny Briwnyn
clever feat	dedje
climbing corydalis	flee yn thoo
climbing irons	yiarnyn slieau
clincher nail	treiney whuaiyllee; whaaley
clog dance	daunse braag vaidjagh
close fisted	gortagh; peajeogagh; sondagh
Close Fletcher	Close Fletcher
Close Kennish	Close Kennish
clove of garlic	ingin gharleid
clutch plate	plait
Clypse Road	Raad Clypse
coal barge	barje geayil
Coalfish Harbour	Purt y Bloghan
Coalfish Place	Boayl ny Blockan
coal heaver	geayleyder
coaling station	purt gheayil
coal scuttle	kishtey geayil
Coarys Cur gys Lieh son Persoonyn	Attribution Regime for Individuals
coastwise shipping	lhuingys slystagh
coastwise trade	cooseyraght
Cobbler's Croft	Croit y Greasee; Croit y Ghreasee
Cobbler's Mill	Mwyllin y Ghreasee
cobbler's stone	clagh ghreasee
cobbler's wax	kere
cob nut	cro keylley mooar
Cockerel's Croft	Croit y Chellee
code letter	coad-lettyr
code of conduct	coad-stiuree
code word	coad-ockle; fockle dorraghey
cognitive science	smooinaghtoaylleeaght
cog rail	railley feeacklagh
cog wheel	queeyl eeacklagh
coiled spring	lheimaghan caslit
coiled tube	feddan lhoobagh
Cojeen's Farm	Balley Cojeen
cold blooded	beiyn as fuill feayr ayn
cold chisel	guilb creoi
Colden Lane	Lhoan Colden
cold snap	tammylt feayr
collared dove	calmane coillaragh
collared flycatcher	skybbyltagh coillaragh
collared pratincole	pratincoyl coillaragh
collar stud	taggad
Colley's Croft	Croit Colley
Collins Lane	Lhoan Collins
Collister's Farm	Balley Collister
Collum's Croft	Croit Chollum
colonic hydro therapy	lheiys-ushtey collaneagh
Colorado beetle	caraig ny braase
Colorado river toad	rannag awin Colorado
coloured narrative	fynn-skeeal
Colquitt's Croft	Croit Cholquitt
Colquitt's Land	Thalloo Colquitt
Columba's Eve	Oie Cholum Keeilley
columnar rock in sea	eekad
Colum's Farm	Balley Colum
Colvin's Mill	Mwyllin Colvin
Colvin's Slope	Liargee Colvin
Comain's Grove	Ros Comain
combine harvester	buinneyder mooar
comet tail	faasaag
comic opera	kiaulldramey aitt
Comish's Farm	Balley Comish
Comity of Nations	Cooyrtoilid ny hashoonyn
commercial stakeholders	cummeyderyn-gioaldyn traghtee
comminuted fracture	brishey scolbagh
Commissioners' Office	Oik ny Barrantee
committal papers	pabyryn-kyndee
committee's chairman	caairlagh y ving
common chamomile	lus y lheihys
common cow-wheat	lus y taggyrt
common denominator	co-enmysser; co-ennymeyr
common divisor	co-rheynneyder
common factor	co-faghteyr
common inkcap	mooyn moddee; shalmane ny faaieaghyn
common-law court	quaiyl theayee
common mallow	lus ny moyl mooarey
common melitot	croobag cheylley
common milkwort	bollan Vreeshey; bollan y chee
commonplace book	lioar chooinaghtyn
common sandpiper	looyran; leayrane
common sea urchin	kione kiyt
common speedwell	chengey baa
common tern	gant; gant cadjin; gollan marrey
common vetch	pishyr chabbil
Commonwealth Parliamentary Association	Co-heshaght Ardwhaiyllagh y Cho-unnaneys
common yellow lichen	scryss buigh ny greg
Community Enterprise	Ventyr Pobble
Community Plus	Co-phobble Plus
community volunteer	arryltagh co-phobble
compact disk	jysk cumir
comparative information analysis	oltscarrey-fysseree cosoylagh
composting agent	molmeyder
composting facility	seyraad-vooireen
compulsory acquisition	goaill er egin
computer consumables	cooid cho-earrooder ry cheau
concoction of lies	lhie-vreag
concrete case	cooish yeen
condiment set	aunlyntane
conduits of communication	ammyryn d'eddyr-insh
confidence trickster	molteyr
Congregational Church	Agglish Chohionnalagh
conic section	giarrey cughlinagh; trass-yiarrey cughlinagh
Conley's Church	Keeill Coonlagh
Conley's Farm	Balley Conley
con man	kialgeyr; molteyr
connecting rod	slat chianglee
Connell's Croft	Croit Chonnell
Conolye's Enclosure	Close Conolye
conscientious objector	cooinsheansagh
consecutive points	poyntyn colhiantagh
consignment note	screeuyn laadee
Constable's Enclosure	Close y Constable
Constituency of Garff	Rheynn-reihys Gharff
Constituency of Malew and Santan	Rheynn-reihys Valew as Stondane
construction schemes	skeimyn-troggal
constructive total loss	lane cailjynys
constructive works	obbraghyn troggee
Consultant Breast Cancer Surgeon	Laue-lhee Coyrlee Kahngyr-keeagh
consulting engineer	jeshaghteyr coyrlee
consulting hours	ooryn coyrlee
consulting room	shamyr choyrlee
consumer psychologist	shicklaagagh-ceaueyder
consummate liar	ard-vreageyder
contact lens	lens kiaddit; sooillag lhiantagh
contact lens solution	tooslaggan sooillag lhiantagh
continental craft and food fair	margey keird as bee ass y; heer vooar
continental shelf	ymmyr vooarheeragh
contingency plans	plannyn-tuittymaght
contortion of spine	croobid drommey
contour map	caslys ym-linnaghyn
contributing to tillage	traauee
controlling stake	ronney-stiuree
controlling your own destiny	stiurey raad dty vea hene
Control of Employment Appeals Tribunal	Binsh Aghinyn Stiurey Failley
control zone	ard-gurneil; ard-stiuree
conveyor belt	cryss ymmyrkee
cony burrow	guaig chonning
Cooil's Farm	Balley Cooil
cookery book	lioar choagyrys
cooking utensils	greienyn coagyraght
Coole's Enclosure	Close y Coole
co-operative society	sheshaght cho-obbragh
Cooper's Croft	Croit Cooper
Cooper's Flat	Faaie Chubeyr
Cooper's Meadow	Lheannee Cubeyr
co-ordinating adviser	coyrleyder cho-oardee
Co-ordinating Adviser Primary Education	Coyrlagh Co-Oardee ny Bunscoillyn
cope stone	clagh vullee
co-phobble ynnydagh	local community
coping saw	saaue cruillagh
copperplate engraving	grainnaghey plait cobbyr
copper wire	streng chobbyr; streng chopuir
Copse Hill	Cronk ny Keylley Veg
copying ink	doo aascreeu
copying press	faastan aascreeu
copyright reserved	gagh kiart tashtit
copy typist	clou-aascreeuder
Corage's Fold	Bwoaillee Corage
Coraige's Enclosure	Close y Coraige
Coraige's Farm Enclosure	Close Balley Coraige
coral reef	rinn chorrylagh; sker chorralagh
cor anglais	cayrn Sostnagh
Corkan's Quarter	Kerroo Cruinn
Corkill's Croft	Croit Corkill
Corkill's Farm	Balley Corkill
Corkill's Turbary	Moanee Orkill
Corkish's Croft	Croit y Corkish
Corkish's Farm	Balley Corkish
Corkish's Field	Magher Chorkish
Corlett's Croft	Croit y Curleod; Croit Corlett; Croit y Corlett
Corlett's Farm	Balley Corlett
Corlett's Stream	Strooan Curleod
Corlett's Turbary	Moanee Curleod
Cormorant's Cleft	Scarlett
Cormorant's Rock	Creg y Shag
Cormorants' Rock	Creg ny Scarroo
corn camomile	lus yn vynlagh
corn chandler	delleyder arroo
corn dolly	babban ny Mheilley; voidjyn
corned beef	feill vart sailjey
Corn Enclosure	Close yn Arroo
Corner of the Fence	Cooil Cleigh
Corner of the Lakelet	Corneil y Loughan
Corney's Fold	Bwoaillee Corni
corn marigold	bastag wuigh; blaashagh buigh; jean airhey
Corony Big Field	Magher Mooar ny Corrony
Corony Mountain Road	Bayr Slieau ny Corony
Corpus Christi	Jerdein Chorp Chreest
Corraige's Farm	Balley Corraige
Corran's Mill	Mwyllin y Corran; Mwyllin Corran
correspond by letter	co-screeu
corridors of power	corradoyryn yn phooar
Corrin's Croft	Croit y Corrin; Croit Corrin; Croit ny Gurrin
Corrin's Enclosure	Close Corrin
Corrin's Hill	Cronk Corrin
Corrin's Quarter	Kerroo Corrin
Corris' Farm	Balley Corris
corrugated iron	yiarn craplit; yiarn roaganagh
Corteen's Croft	Croit y Corteen
Corteen's Enclosure	Close Corteen
Corteen's Farm	Balley Corteen
cosine curve	cruill co-heenyssagh
cos lettuce	lettys liauyr
cosmic dust	joan y tuinney
cosmic wind	geay ny greiney
Cosnaghan's Land	Thalloo Quislin
Cosnagh's Farm	Balley Cosnagh
Cosnahan's Farm	Balley Cosnahan
Cosnahan's Shieling	Eary Cushlin
Costain's Croft	Croit Costain
Costain's Field	Magher y Costain
Costain's Fold	Bwoaillee Costain
Costain's House	Thie Austeyn
Costain's Rock	Creg Costain
Costa Rica	Coose Ber; hagh
cost of production	costys jannoo
cosy for teapot	coodeyder
Cotch's Farm	Balley Cotch
Cotteen's Croft	Croit y Cotteen; Croit Cotteen
Cottier's Croft	Croit Cottier
Cottier's Enclosure	Close Cottier
Cottier's Farm	Balley Cottier
Cottier's Flat	Faaie Cottier
Cottier's Gardens	Garaghyn Chottier
Cottier's Marsh	Curragh Cottier
Cottier's Meadow	Lheannee Cottier
Cottier's Turbary	Moanee Cottier
Cottiman's Croft	Croit Cottiman
Cottiman's Shieling	Eary Cottiman
counterfeit coinage	argid foalsey
counterfoil and leaf	duillag as coghuillag
County Clare	Coontae yn Chlaair
coup de grace	builley baaish
Courier Office Lane	Lhoan Oik y Roieder
Court Enclosure	Close ny Cooyrtey
Courtney's Farm	Balley Courtney
Court of General Gaol	Quaiyl y Phryssoon
covalent bond	kiangley cofioosagh; nastey co-ioosagh
Cowboy Builders and Bogus Callers	Troggeyderyn Camlaagagh as Keayrtee Vreagagh
cowed person	cruill
Cowell's Farm Flat	Faaie Valley Cowell
Cowell's Farm Glen	Glion Valley Cowell
Cowell's Farm Scrub	Garee Valley Cowell
Cowell's Meadow	Lheannee Cowell
Cowen's Farm	Balley Cowen
Cowin's Croft	Croit y Cowin
Cowin's Farm	Balley Cowin
Cowin's Hill	Cronk y Cowin
Cowin's Rock	Creg y Cowin
Cowle's Croft	Croit y Cowle
Cowle's Division	Rheynn Owle
Cowle's Farm	Balley Cowle
Cowle's Farm Pasture	Pairk Valley Cowle
Cowle's Field	Magher y Cowle; Giat y Chowle
Cowle's Flat	Faaie Cowle
Cowle's Fold	Bwoaillee Cowle
Cowle's Hollow	Coan y Cowle
Cowle's Land	Thalloo Cowle; Thalloo Chowle
Cowle's Marsh	Curragh Cowle
Cowle's Mill	Mwyllin y Cowle
Cowle's Nook	Cooil y Cowle
Cowle's Wasteland Croft	Croit Cowle y Reeast
Cowley's Enclosure	Close y Cowley
Cowne's Glen	Glion Cowne
Cows' New Fold	Bwoaillee Noa ny Baa
Craige's Enclosure	Close y Craige
Craige's Gate	Giat Craige
Craige's Road	Giat Craige
Craig's Enclosure	Close Craig
Craine's Enclosure	Close Craine
Craine's Farm	Balley Craine
Craine's Marsh	Curragh Craine
Craine's Shrubbery	Garee Craine
cramp iron	crampey; yiarn crampagh
crane's bill	lus ny freenaghyn mooarey; lus ny h-ashlish
crank arm	baccan croymmane
crank axle	essyl chroymmane
crank pin	freeyney croymmane
crass ignorance	jiarg almoraght
crass stupidity	jiarg ommidys
cream cracker	brishlag
cream jug	podjal key
cream of tartar	tartyr gial
Crebbin's Farm	Balley Crebbin
credit rating	raatys-daill
creeping buttercup	buighag
creeping yellow-cress	cresh ny giark
Creer's Clepp's Farm	Clepps y Creer
Creetch's Farm	Balley Creetch
Creetch's Hill Slope	Liargee Chreetch
Cregart's Farm	Balley Crickyrt
Cregeen's Shrubbery	Garee Cregeen
Creg ny Baa Back Road	Raad Cooyl Chreg ny Baa
Creg Willey's Hill	Creg Willy Syl
me de la cr	key mullee
me de menthe	eaghtyr-mynthey
Crene's Hill	Cronk Crene
Crennell's Farm	Balley Crennell
Crennell's Flat	Faaie Crennell
crested crane	coar cheyjeenagh
crested lark	ushag vooar-happagh
crested tit	myntan kereenagh
crested titmouse	drean eairkagh; drean mollagh
Criminal Prosecutions Division	Fo-rheynn Shual Kimmeeagh
Cripple's Croft	Croit y Vartaragh
Cripple's Summit	Mullagh y Vartaragh
Cristen's Farm	Balley Cristen
Cristory's Glen	Glion Cruggerey
critical care	kiarail hrome-chooishagh
Croak's Farm	Balley Croak
crochet hook	birrag chroeshey
Croft of the Cairns	Croit ny Garnane
Croft of the Grubs	Croit ny Grooag
Croft of the Lakelet	Croit y Loughan
Croft of the Turbary	Croit ny Moaney
Crokane's Place	Crokane
Cronkbourne Road	Raad Strooan y Chrink
Cronk y Berry Mews	Cooyrt Cronk y Berree
Cronk y Voddy	Cronk y Voddee
crop cutters	beayneeyn; buinneyderyn
crossbench car	carr tessenvinkagh
crosscut saw	crosh-saaue
cross one's T's	obbyr y yannoo dy cruinn; T-ghyn y chrossey
Cross's Enclosure	Close Cross
Cross's Farm	Balley Cross
Crovan's Close	Close Ghorree Crovan
crow's foot	cass guiy
Crow's Hill	Cronk ny Fannag
Crow's Ness	Cregneash
crow's nest	cronnag; edd craue
Crow's Rocky Place	Creggan yn Annag
crude oil	ooill aw
cruise liners	laineyryn-turrys
Crye's Fold	Bwoaillee Crye
Crynane's Farm	Balley Crynane
Cry's Farm	Balley Cry
Cry's Garden	Garey Cry
Cry's Quarter	Kerroo Croie
crystal gazer	fadeyr crystal
Cubbon's Bridge	Droghad Cubbon
Cubbon's Croft	Croit y Chubbon; Croit Cubbon
Cubbon's Farm	Balley Cubbon
Cubbon's Gap	Doarlish Cubbon
Cubbon's New Enclosure	Close Noa y Cubbon
Cubbon's Rock	Creg y Cubbon
Cubbon's Shrubbery	Garee Cubbon
Cubbon's Tiny Shrubbery	Garee Beg y Cubbon
cube root	fraue chiubagh; fraue kioobagh
cubic foot	trie chioobagh
cubic measure	towse kioobagh
cubic metre	meter kioobagh
cultivated land	thalloo lhiasit
cultivating machine	jeshaght reuyree
Cundre's Farm	Balley Cundre
Cunner's Lake	Lough Cunner
Cunnery's Croft	Croit Cunnery
cunning craftiness	croutyn cluicagh
cup valve	cooylley chappanagh
curator of social history	curmeyder shennaghys theayagh; curmeyder shennaghys sheshoil
curlew sandpiper	looyran crottagh; leayrane crottagh
curling challenge match	troddan doolane curlal
curling iron	clou cassee
curly kale	caayl cast
Curphey's Farm	Balley Curphey
Currin's Mountain	Slieau Curn
Curry's Big Farm	Balley Curn Mooar
Curry's Farm	Balley Curry; Balley Curn
Curry's Marsh	Curragh Curry
Curry's Narrow Farm	Balley Curn Keyl
curvature of the spine	cammid drommey
curving uphill road	bollagh; bollee
Cushion Croft	Croit y Chushen
Cushtal's Land	Thalloo Chustal
custard apple	ooyl custart
custard powder	poodyr custart
customer scheduler	skedjallagh custymeyryn
customs clearance	glenney custym
